lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
ὀφθαλμός,71,unigram,masculine,nominative,plural,mason,4.58476713200286,mason,mason,mason,mason,mason,masony,eye
ὀφθαλμός,313,unigram,masculine,nominative,singular,masonao,50.41581294596273,masonao,masonao,masonao,masonao,masonao,masonao,eye
πρόσωπον,202,unigram,neuter,accusative,singular,tavan,3.015034741768616,,tavan,tavan,tavan,tavan,,face
λιμός,6,unigram,feminine,nominative,plural,mosary,1.8330859938998831,mosary,mosary,mosary,mosary,mosary,mosary,famine
γεωργός,264,unigram,masculine,nominative,plural,mpiasa,4.8000010912008255,mpiasa,mpiasa,mpamboly,mpamboly,mpiasa,mpiasa,"farmer, tenant"
γεωργός,55,unigram,masculine,nominative,singular,,,mpamboly,IZAHO,voaloboka,voaloboka,mpamboly,mpamboatra,"farmer, tenant"
πατήρ,319,unigram,masculine,accusative,singular,Ray,289.7990576785917,Ray,Ray,Ray,Ray,Ray,Ray,father
πατήρ,328,unigram,masculine,nominative,plural,razanareo,2.1114486295576205,razany,,razanareo,razanareo,nihinana,,father
πατήρ,196,unigram,masculine,nominative,singular,Ray,116.21860031522708,Ray,Ray,Ray,Ray,Ray,Ray,father
σύνδουλος,152,unigram,masculine,accusative,plural,mpimamo,1.4432732684933456,mpimamo,mpimamo,,,mpimamo,mpimamo,"fellow-servant, colleague"
σύνδουλος,332,unigram,masculine,nominative,plural,Nalahelo,1.6146293801120277,Nalahelo,nalahelo,Nalahelo,Nalahelo,tatitra,hitan'ireo,"fellow-servant, colleague"
σύνδουλος,122,unigram,masculine,nominative,singular,haloako,1.1226284695549669,,haloako,,,,haloako,"fellow-servant, colleague"
ἀγρός,344,unigram,masculine,accusative,plural,an-tsaha,4.04671761311818,an-tsaha,an-tsaha,trano,trano,anabavy,an-tsaha,field
ἀγρός,43,unigram,masculine,accusative,singular,an-tsaha,2.1939486678253597,an-tsaha,an-tsaha,saha,saha,an-tsaha,,field
δάκτυλος,187,unigram,masculine,accusative,singular,tanako,6.265733755565539,tanako,tànako,tanako,tanako,tanako,tanako,finger
ἰχθύς,162,unigram,masculine,accusative,plural,hazandrano,3.734372560038542,hazandrano,hazandrano,trondro,trondro,hazandrano,hazandrano,fish
ἰχθύς,201,unigram,masculine,accusative,singular,hazandrano,2.0064101385681115,angatahiny,hazandrano,trondro,trondro,hazandrano,hazandrano,fish
δίκτυον,116,unigram,neuter,accusative,plural,haratony,4.018710286248542,haratony,,haratony,haratony,haratony,,fishing net
δίκτυον,210,unigram,neuter,accusative,singular,harato,2.674974167296907,harato,hazandrano,harato,harato,harato,hazandrano,fishing net
δίκτυον,182,unigram,neuter,nominative,plural,haratony,1.5664776927549091,haratony,haratony,nandatsaka,nandatsaka,haratony,haratony,fishing net
δίκτυον,255,unigram,neuter,nominative,singular,,,nitarika,,,,nosarihany,,fishing net
τροφή,257,unigram,feminine,accusative,plural,hividy,4.222592040906064,hividy,hividy,hividy,hividy,hividy,hividy,food
τροφή,339,unigram,feminine,accusative,singular,notendren,1.3290591902416922,notendren,notendren,,,notendren,notendren'ny,food
πούς,247,unigram,masculine,accusative,plural,tongony,5.111062779836773,tongony,tongony,tongotro,tongotro,tongony,tongony,foot
πούς,120,unigram,masculine,accusative,singular,tongotrao.›,1.1799809118918323,tongotrao.›,,,,,,foot
καρπός,192,unigram,masculine,accusative,plural,voa,2.0116806802461733,vokatry,voa,vokatra,vokatra,voa,voa,"fruit, crop, harvest"
καρπός,243,unigram,masculine,accusative,singular,voa,3.4144943774049428,mamoa,voa,voa,voa,voa,voa,"fruit, crop, harvest"
πλήρωμα,281,unigram,neuter,accusative,plural,mofo,1.2579230151388787,lany,mofo,ambiny,ambiny,mofo,mofo,fullness
