lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1156_translation,version_1157_translation,english_translation
διάκονος,75,unigram,masculine,nominative,singular,morai,1.1627026655385289,morai,,"servant, minister, deacon"
δοῦλος,170,unigram,masculine,accusative,plural,sabua'na,3.498164528660168,sabua'na,,"servant, slave"
δοῦλος,22,unigram,masculine,accusative,singular,sabua'na,1.4891396616529906,sabua'na,,"servant, slave"
δοῦλος,84,unigram,masculine,nominative,plural,sabua'na,1.2530622533377171,sabua'na,,"servant, slave"
δοῦλος,166,unigram,masculine,nominative,singular,sabua,1.7118716219012884,sabua,,"servant, slave"
πρόβατον,270,unigram,neuter,accusative,plural,domba,3.506468809949421,domba,,sheep
ποιμήν,203,unigram,masculine,nominative,plural,ma'kambi,2.553876765807632,ma'kambi,,"shepherd, pastor"
ποιμήν,235,unigram,masculine,nominative,singular,ma'kambi,1.7195533288438234,ma'kambi,,"shepherd, pastor"
σημεῖον,114,unigram,neuter,accusative,plural,tanda,1.0561315498450636,tanda,,sign
σημεῖον,102,unigram,neuter,accusative,singular,tanda,2.5051721392590403,tanda,,sign
σημεῖον,33,unigram,neuter,nominative,plural,kendek,1.030776401568504,kendek,,sign
σημεῖον,74,unigram,neuter,nominative,singular,temoe,1.1157194176411798,temoe,,sign
ἀργύριον,175,unigram,neuter,accusative,plural,doi,2.4623599946668357,doi,,"silver, money"
ἀργύριον,278,unigram,neuter,accusative,singular,doi,2.3757642978805182,doi,,"silver, money"
ἁμαρτία,230,unigram,feminine,accusative,plural,unggarri,1.3130968497293365,unggarri,,sin
ἁμαρτία,177,unigram,feminine,accusative,singular,Kela,1.2697126375291352,Kela,,sin
ἁμαρτία,239,unigram,feminine,nominative,plural,kasalaammu,1.7010977460946568,kasalaammu,,sin
ἁμαρτία,236,unigram,feminine,nominative,singular,kasalaan,1.0831781187860807,kasalaan,,sin
ἀδελφή,108,unigram,feminine,accusative,singular,Marta,1.3455298156562048,Marta,,sister
ἀδελφή,16,unigram,feminine,nominative,plural,siamikia,1.937658877939156,siamikia,,sister
ἀδελφή,259,unigram,feminine,nominative,singular,sirondongna,1.197170065416973,sirondongna,,sister
ῥάπισμα,223,unigram,neuter,accusative,singular,natampiling,1.096239847813496,natampiling,,"slap, strike, hit"
πλοιάριον,192,unigram,neuter,nominative,plural,nakurru,1.0962498059215229,nakurru,,small boat
πλοιάριον,113,unigram,neuter,nominative,singular,lopi,1.205124576297166,lopi,,small boat
ὀψάριον,211,unigram,neuter,accusative,singular,be'dok,1.1179214772276345,be'dok,,small fish
υἱός,37,unigram,masculine,accusative,plural,anakna,1.171641802335199,anakna,,son
υἱός,101,unigram,masculine,accusative,singular,Anak,1.0006400245769962,Anak,,son
υἱός,104,unigram,masculine,nominative,plural,anakna,1.1683141152317364,anakna,,son
υἱός,172,unigram,masculine,nominative,singular,Anak,1.0133629189365971,Anak,,son
ψυχή,182,unigram,feminine,accusative,plural,ullolongangkoa,1.0597605047073615,ullolongangkoa,,"soul, life"
ψυχή,233,unigram,feminine,accusative,singular,ungkasayu,1.1944173608129238,ungkasayu,,"soul, life"
ἀστήρ,244,unigram,masculine,nominative,plural,sironno'-ronnosan,1.0596518186078558,sironno'-ronnosan,,star
λίθος,247,unigram,masculine,accusative,plural,batu,1.3887999908386943,batu,,stone
λίθος,28,unigram,masculine,accusative,singular,batu,3.31766934774773,batu,,stone
λίθος,112,unigram,masculine,nominative,plural,batue,1.8380962572349548,batue,,stone
λίθος,32,unigram,masculine,nominative,singular,batu,1.6563251598042186,batu,,stone
συναγωγή,201,unigram,feminine,accusative,plural,pa'bisara,1.0539011405874659,pa'bisara,,synagogue
συναγωγή,280,unigram,feminine,accusative,singular,pa'sambayanganna,1.3458338660904292,pa'sambayanganna,,synagogue
τράπεζα,159,unigram,feminine,accusative,plural,mejana,1.5323771808722415,mejana,,table
τάλαντον,58,unigram,neuter,accusative,plural,sa'bu,1.2893783968105144,sa'bu,,talent (weight and monetary unit: around 20 years' wages)
