lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_737_translation,version_738_translation,version_739_translation,english_translation
ἡγεμών,12,unigram,masculine,accusative,singular,čudio,1.267301505635075,čudio,čudio,začudilo,"governor, ruler"
ἀσπασμός,308,unigram,masculine,accusative,plural,,,pozdrave,trgovima,pozdravljaju,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,,,,jamu.,obojica,guide
ὁδηγός,4,unigram,masculine,nominative,singular,,,vodiči,vođe,Slijepi,guide
θρίξ,208,unigram,feminine,nominative,singular,vlas,1.329135573171213,vlas,dlaka,vlas,hair
χείρ,300,unigram,feminine,accusative,plural,ruke,252.011817684536,ruke,ruke,ruke,hand
χείρ,212,unigram,feminine,accusative,singular,ruku,15.954120776735012,ruku,ruku,ruku,hand
κεφαλή,136,unigram,feminine,accusative,plural,vrijeđali,1.83848748660788,,vrijeđali,,head
κεφαλή,196,unigram,feminine,accusative,singular,glavu,18.733262800317018,glavu,glavu,glavu,head
στάχυς,197,unigram,masculine,accusative,plural,klasje,1.1420787435810489,klasje,,,head of grain
καρδία,33,unigram,feminine,accusative,plural,srca,1.6518614526158506,srca,,,heart
καρδία,275,unigram,feminine,accusative,singular,srce,5.26758550463349,srce,srce,,heart
καρδία,184,unigram,feminine,nominative,singular,srce,9.001950123400409,srce,srca,srce,heart
οὐρανός,255,unigram,masculine,accusative,singular,nebo,12.747403576108537,nebo,nebo,nebo,"heaven, sky"
οὐρανός,188,unigram,masculine,nominative,singular,nebo,1.1715261865430926,nebo,nebo,Nebo,"heaven, sky"
ὥρα,25,unigram,feminine,nominative,singular,vrijeme,2.8173321546906953,čas,vrijeme,vrijeme,hour
οἰκία,313,unigram,feminine,accusative,singular,kuću,365.11394156927355,kuću,kuću,kuću,house
οἶκος,270,unigram,masculine,accusative,plural,učinit,1.0963047455737722,,učinit,,"house, home"
οἶκος,21,unigram,masculine,accusative,singular,kući,3.217698961289429,kući,kući,kući,"house, home"
κριτής,295,unigram,masculine,nominative,plural,,,suci,čiju,,judge
κριτής,159,unigram,masculine,nominative,singular,sudac,6.5475405296663345,sudac,sudac,sudac,judge
βασιλεύς,102,unigram,masculine,accusative,plural,kraljeve,6.222532984591546,kraljeve,kraljeve,kraljeve,king
βασιλεύς,56,unigram,masculine,accusative,singular,kralja,2.7004047023882434,kralja,kralja,kralja,king
βασιλεία,77,unigram,feminine,accusative,plural,kraljevstva,1.426789120414796,kraljevstva,kraljevstva,Đavao,kingdom
βασιλεία,155,unigram,feminine,accusative,singular,kraljevstvo,4.071562741164843,kraljevstvo,Božje,kraljevstvo,kingdom
κόπος,191,unigram,masculine,accusative,plural,,,uznemirujete,djelo,,"labour, work, trouble, difficulty"
λύχνος,242,unigram,masculine,nominative,plural,Obucite,1.161346151680032,,Obucite,,lamp
λύχνος,222,unigram,masculine,nominative,singular,svjetiljka,1.688038990104229,svjetiljka,svjetiljka,,lamp
κλῆρος,1,unigram,masculine,accusative,singular,,,ždrijeb,odjeću,kocku,"lots (casting of lots), inheritance"
ἄνθρωπος,284,unigram,masculine,accusative,plural,ljude,15.106492304200627,ljude,ljude,ljude,man
ἄνθρωπος,245,unigram,masculine,accusative,singular,čovjeka,115.41908545022964,čovjeka,čovjeka,čovjeka,man
ἄνθρωπος,114,unigram,masculine,nominative,plural,ljudi,12.074770959652295,ljudi,ljudi,ljudi,man
ἄνθρωπος,170,unigram,masculine,nominative,singular,čovjek,403.867755621433,čovjek,čovjek,čovjek,man
ἀνήρ,239,unigram,masculine,accusative,singular,muža,28.374487693383788,muža,muža,muža,"man, husband"
ἀνήρ,142,unigram,masculine,nominative,plural,muškaraca,2.1515262003160105,muškaraca,tisuća,muškaraca,"man, husband"
ἀνήρ,229,unigram,masculine,nominative,singular,čovjek,13.256661209216164,čovjek,čovjek,čovjek,"man, husband"
μνᾶ,287,unigram,feminine,accusative,plural,,,mina,deset,‘,mina (about 100 days' wages)
μνᾶ,13,unigram,feminine,accusative,singular,srebro,1.0960670999999007,,,srebro,mina (about 100 days' wages)
πρωτοκαθεδρία,100,unigram,feminine,accusative,plural,gozbama,1.1785399417784634,gozbama,gozbama,gozbama,"most important seat, seat of honour"
μήτηρ,92,unigram,feminine,accusative,plural,majku,1.096329813773948,,,majku,mother
μήτηρ,267,unigram,feminine,accusative,singular,majku,3.010302891949921,majku,majku,majku,mother
ὄρος,207,unigram,neuter,accusative,plural,bježe,1.209215284755683,bježe,bježe,,mountain
ὄρος,253,unigram,neuter,accusative,singular,goru,5.430245434502355,goru,na,goru,mountain
ὄνομα,34,unigram,neuter,accusative,singular,ime,6.384746229386142,ime,ime,ime,name
ὄνομα,98,unigram,neuter,nominative,plural,imena,7.9993690103270545,imena,imena,imena,name
ὄνομα,240,unigram,neuter,nominative,singular,ime,3.0846837342406443,ime,ime,imenom,name
ἔθνος,220,unigram,neuter,accusative,plural,narodima,2.1001529851506002,,narodima,narodima,nation
ἔθνος,185,unigram,neuter,accusative,singular,narod,3.673295443826743,narod,narod,narod,nation
ἔθνος,290,unigram,neuter,nominative,plural,,,,potrebno,nevjernici,nation
ἔθνος,26,unigram,neuter,nominative,singular,narod,1.8366288635718333,narod,narod,narod,nation
νύξ,180,unigram,feminine,accusative,plural,noći,15.606345730972336,noći,noći,noći,night
νύξ,234,unigram,feminine,accusative,singular,,,danju,,zatim,night
ὅρκος,57,unigram,masculine,accusative,plural,,,zakletve,,zakleo,oath
ὅρκος,252,unigram,masculine,accusative,singular,zavjeta,1.0960670999999007,,,zavjeta,oath
βοῦς,147,unigram,masculine,accusative,plural,,,goveda,novca,volove,ox
παραβολή,248,unigram,feminine,accusative,plural,,,usporedbe,,prispodobe,parable
παραβολή,213,unigram,feminine,accusative,singular,usporedbu,9.572894179971755,usporedbu,usporedbu,prispodobu,parable
μέρος,331,unigram,neuter,accusative,plural,,,područja,područje,,part
μέρος,49,unigram,neuter,accusative,singular,dio,1.1931300636437387,,dio,,part
μαργαρίτης,215,unigram,masculine,accusative,plural,bisere,1.999949106296321,,bisere,,pearls
τόπος,261,unigram,masculine,accusative,plural,potresa,1.4450964213386113,,potresa,potresa,place
τόπος,283,unigram,masculine,accusative,singular,mjesto,81.72094519485569,mjesto,mjesto,mjesto,place
πρωτοκλισία,265,unigram,feminine,accusative,plural,,,prva,mjesta,pročelju,place of honor
ὄφις,99,unigram,masculine,accusative,singular,zmiju,4.7283729475954885,zmiju,zmiju,zmiju,poison
σκεῦος,131,unigram,neuter,accusative,plural,opljačkati,1.5385487963909523,,opljačkati,,"possession, object, thing, jar, vessel"
σκεῦος,244,unigram,neuter,accusative,singular,,,pronese,išta,,"possession, object, thing, jar, vessel"
σκεῦος,123,unigram,neuter,nominative,plural,stvari,1.2125536087908517,stvari,zatekne,stvari,"possession, object, thing, jar, vessel"
δύναμις,101,unigram,feminine,accusative,plural,,,djela,čuda,čudesa,"power, ability, miracle"
δύναμις,43,unigram,feminine,accusative,singular,moć,1.2768703058586852,,moć,,"power, ability, miracle"
δύναμις,80,unigram,feminine,nominative,plural,,,silna,čuda,sile,"power, ability, miracle"
δύναμις,111,unigram,feminine,nominative,singular,sila,5.872633366029439,snaga,sila,sila,"power, ability, miracle"
ἱερεύς,232,unigram,masculine,nominative,singular,svećenik,2.9030686409352606,svećenik,svećenik,svećenik,priest
φυλακή,24,unigram,feminine,accusative,singular,tamnicu,6.0557773453720465,tamnicu,zatvor,tamnicu,prison
προφήτης,60,unigram,masculine,accusative,plural,proroke,48.35980036487087,proroke,proroke,proroke,prophet
προφήτης,189,unigram,masculine,accusative,singular,proroka,2.8735791849647203,proroka,prorok,proroka,prophet
προφήτης,214,unigram,masculine,nominative,plural,proroci,16.318183500164558,proroci,proroci,proroci,prophet
προφήτης,254,unigram,masculine,nominative,singular,prorok,11.694624054583823,prorok,prorok,prorok,prophet
βαλλάντιον,19,unigram,neuter,accusative,singular,,,novčanik,torbu,,purse
ποταμός,162,unigram,masculine,nominative,singular,izgradi,1.2851180822006234,,,izgradi,river
λῃστής,330,unigram,masculine,accusative,singular,razbojnika,1.0811206535908369,razbojnika,,,robber
λῃστής,310,unigram,masculine,nominative,plural,razbojnici,3.8326259135058,razbojnici,razbojnici,,robber
λῃστής,152,unigram,masculine,nominative,singular,razbojnik,3.999795658923141,razbojnik,razbojnik,,robber
ἄρχων,194,unigram,masculine,accusative,plural,,,poglavare,,vijećnike,ruler
ἄρχων,64,unigram,masculine,nominative,plural,glavari,2.4060611112285786,glavari,glavari,naši,ruler
ἄρχων,304,unigram,masculine,nominative,singular,knez,2.083044931637716,knez,vladar,knez,ruler
ἀκοή,75,unigram,feminine,accusative,singular,tetrarh,1.9398173737892548,tetrarh,glasine,tetrarh,rumor
ἀκοή,320,unigram,feminine,nominative,singular,,,glas,proširila,,rumor
βιβλίον,51,unigram,neuter,accusative,singular,,,knjigu,svitak,,"scroll, book"
διάκονος,88,unigram,masculine,nominative,singular,sluga,1.2164663852775588,neka,sluga,sluga,"servant, minister, deacon"
δοῦλος,201,unigram,masculine,accusative,plural,sluge,47.26109343019487,sluge,sluge,sluge,"servant, slave"
δοῦλος,27,unigram,masculine,accusative,singular,slugu,29.245162052113336,slugu,slugu,slugu,"servant, slave"
δοῦλος,97,unigram,masculine,nominative,plural,sluge,5.173477876074624,sluge,sluge,sluge,"servant, slave"
δοῦλος,195,unigram,masculine,nominative,singular,sluga,8.827931085221017,sluga,sluga,sluga,"servant, slave"
πρόβατον,314,unigram,neuter,accusative,plural,ovce,25.967877568153625,ovce,ovce,ovce,sheep
πρόβατον,138,unigram,neuter,accusative,singular,ovcu,7.079973060328074,ovcu,ovcu,ovcu,sheep
ποιμήν,238,unigram,masculine,nominative,plural,pastiri,7.541807543637783,pastiri,pastiri,pastiri,"shepherd, pastor"
ποιμήν,276,unigram,masculine,nominative,singular,pastir,4.020114761894881,pastir,pastir,pastir,"shepherd, pastor"
σημεῖον,134,unigram,neuter,accusative,plural,,,čudesa,znakove,čuda,sign
σημεῖον,122,unigram,neuter,accusative,singular,znak,15.431851789512482,znak,znak,znak,sign
σημεῖον,40,unigram,neuter,nominative,plural,znaci,3.8323628952932096,znakovi,znaci,znaci,sign
σημεῖον,87,unigram,neuter,nominative,singular,znak,6.660628387566405,znak,znak,znak,sign
δραχμή,164,unigram,feminine,accusative,singular,,,srebrnjak,nađe,,"silver coin, drachma"
ἀργύριον,206,unigram,neuter,accusative,plural,trideset,1.3528744307150329,srebrnjaka,trideset,trideset,"silver, money"
ἀργύριον,323,unigram,neuter,accusative,singular,novac,8.925399328113267,novac,novac,novac,"silver, money"
ἁμαρτία,271,unigram,feminine,accusative,plural,grijehe,5.952942772041596,grijehe,grijehe,grijehe,sin
ἁμαρτία,210,unigram,feminine,accusative,singular,grijeh,3.516685711330452,grijeh,grijeh,grijeh,sin
ἁμαρτία,280,unigram,feminine,nominative,plural,grijesi,1.1948992079814291,grijesi,grijesi,oprošteni,sin
ἁμαρτία,277,unigram,feminine,nominative,singular,grijeh,4.3214901602407565,grijeh,grijeh,grijeh,sin
ἀδελφή,302,unigram,feminine,accusative,plural,sestre,1.2959853612968881,sestre,sestre,oca,sister
ἀδελφή,128,unigram,feminine,accusative,singular,sestru,3.9997953154439863,sestru,sestru,,sister
ἀδελφή,20,unigram,feminine,nominative,plural,sestre,11.177421754584056,sestre,sestre,sestre,sister
ἀδελφή,301,unigram,feminine,nominative,singular,sestra,17.78091252541691,sestra,sestra,sestra,sister
ῥάπισμα,148,unigram,neuter,accusative,plural,licu,1.2013416367619456,pljuske,licu,licu,"slap, strike, hit"
ῥάπισμα,264,unigram,neuter,accusative,singular,pljusku,1.096057314542422,pljusku,,,"slap, strike, hit"
πλοιάριον,133,unigram,neuter,nominative,singular,,,učenicima,,mnoštvo,small boat
ὀψάριον,247,unigram,neuter,accusative,singular,kruh,1.5974777458393385,ribu,kruh,kruh,small fish
υἱός,45,unigram,masculine,accusative,plural,sinova,3.218480369808405,sina,sinova,sinova,son
υἱός,121,unigram,masculine,accusative,singular,Sina,2.382587039691678,Sina,Sina,Sina,son
υἱός,124,unigram,masculine,nominative,plural,sinovi,4.283778242335117,djeca,sinovi,sinovi,son
υἱός,203,unigram,masculine,nominative,singular,Sin,6.845159507033352,Sin,Sin,Sin,son
ψυχή,216,unigram,feminine,accusative,plural,posjedujte,1.0962149939516397,posjedujte,,,"soul, life"
ψυχή,274,unigram,feminine,accusative,singular,život,2.573562881407235,život,život,život,"soul, life"
ἀστήρ,285,unigram,masculine,nominative,plural,,,,padati,padatii,star
λίθος,289,unigram,masculine,accusative,plural,kamenje,2.500385635216877,kamenje,,kamenje,stone
λίθος,35,unigram,masculine,accusative,singular,kamen,108.99871257204028,kamen,kamen,kamen,stone
λίθος,132,unigram,masculine,nominative,plural,kamenje,7.502529175562153,kamenje,kamenje,kamenje,stone
λίθος,39,unigram,masculine,nominative,singular,kamen,5.519379282292344,kamen,kamen,kamen,stone
συναγωγή,236,unigram,feminine,accusative,plural,sinagogama,4.508358516945541,sinagogama,sinagogama,sinagogama,synagogue
συναγωγή,324,unigram,feminine,accusative,singular,sinagogu,20.606140297837737,sinagogu,sinagogu,sinagogu,synagogue
τράπεζα,135,unigram,feminine,accusative,singular,,,,podignem,uložio,table
τάλαντον,69,unigram,neuter,accusative,plural,talenata,2.5364710969869537,talenata,talenata,zlatnika,talent (weight and monetary unit: around 20 years' wages)
τάλαντον,219,unigram,neuter,accusative,singular,talenat,8.618839222709104,talenat,talenat,vreću,talent (weight and monetary unit: around 20 years' wages)
φόρος,281,unigram,masculine,accusative,singular,,,,plaćamo,plaćati,tax
τελώνης,181,unigram,masculine,nominative,plural,poreznici,8.816081143740565,poreznici,poreznici,,tax collector
τελώνης,72,unigram,masculine,nominative,singular,poreznik,5.70080096503996,poreznik,poreznik,poreza,tax collector
γραμματεύς,328,unigram,masculine,nominative,plural,pismoznanci,8.479780123885819,pismoznanci,Zakona,pismoznanci,"teacher, expert in the law, scholar, scribe"
γραμματεύς,204,unigram,masculine,nominative,singular,pismoznanac,4.834133111047833,pismoznanac,Zakona,pismoznanac,"teacher, expert in the law, scholar, scribe"
