lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1942_translation,version_1943_translation,version_1944_translation,version_1945_translation,english_translation
ὀψάριον,226,unigram,neuter,accusative,singular,,,Karaya,,konulmuş,Карая,small fish
υἱός,46,unigram,masculine,accusative,plural,,,,Zebedi'nin,oğulları,,son
υἱός,111,unigram,masculine,accusative,singular,İnsanoğlu'nun,3.256571349452795,İnsanoğlu'nun,İnsanoğlu'nun,İnsanoğlunun,Инсанолу'нун,son
υἱός,113,unigram,masculine,nominative,plural,oğulları,16.374954044071355,oğulları,çocukları,oğulları,оулларъ,son
υἱός,186,unigram,masculine,nominative,singular,İnsanoğlu,9.119802430692463,İnsanoğlu,İnsanoğlu,İnsanoğlu,Инсанолу,son
ψυχή,246,unigram,feminine,accusative,singular,canını,8.992856383010201,canını,canını,canını,джанънъ,"soul, life"
ἀστήρ,256,unigram,masculine,nominative,plural,yıldızlar,1.5385066052693337,,,yıldızlar,,star
λίθος,260,unigram,masculine,accusative,plural,,,taşlamak,,kaldırdılar,ташламак,stone
λίθος,36,unigram,masculine,accusative,singular,taş,2.696257081476472,taş,taşı,taş,таш,stone
λίθος,121,unigram,masculine,nominative,plural,taşlar,10.796413781761819,taşlar,taşlar,taşlar,ташлар,stone
λίθος,40,unigram,masculine,nominative,singular,taş,2.586820025170569,taş,taş,taş,таш,stone
συναγωγή,216,unigram,feminine,accusative,plural,,,önüne,Sizleri,,ьонюне,synagogue
συναγωγή,292,unigram,feminine,accusative,singular,havraya,2.853281802764553,havraya,sinagoga,havraya,хаврая,synagogue
τράπεζα,123,unigram,feminine,accusative,singular,,,alırdım,yatırmadın,,,table
τάλαντον,68,unigram,neuter,accusative,plural,talant,2.2137556701681693,talant,talant,talant,талант,talent (weight and monetary unit: around 20 years' wages)
τάλαντον,197,unigram,neuter,accusative,singular,,,talantı,talant,talantını,талантъ,talent (weight and monetary unit: around 20 years' wages)
φόρος,252,unigram,masculine,accusative,singular,,,,Söyle,Kaysere,,tax
τελώνης,165,unigram,masculine,nominative,plural,,,vergi,toplayanlarla,mültezimleri,верги,tax collector
τελώνης,69,unigram,masculine,nominative,singular,,,görevlisi,,mültezimi,,tax collector
γραμματεύς,296,unigram,masculine,nominative,plural,,,bilginleri,yorumcular,yazıcılar,дин,"teacher, expert in the law, scholar, scribe"
γραμματεύς,187,unigram,masculine,nominative,singular,,,bilgini,yorumcu,yazıcı,билгини,"teacher, expert in the law, scholar, scribe"
