lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1513_translation,version_1514_translation,version_1515_translation,version_1516_translation,version_1517_translation,english_translation
γεωργός,50,unigram,masculine,nominative,singular,,,,,,Ojciec—ogrodnikiem,winogrodnikiem,"farmer, tenant"
πατήρ,193,unigram,masculine,accusative,plural,ojców,2.1176770932699855,ojców,,ojców,,ojców,father
πατήρ,301,unigram,masculine,accusative,singular,Ojca,5.172791100017921,Ojca,Ojca,Ojca,Ojca,Ojca,father
πατήρ,308,unigram,masculine,nominative,plural,ojcowie,16.18423846750568,ojcowie,ojcowie,ojcowie,przodkowie,ojcowie,father
πατήρ,182,unigram,masculine,nominative,singular,Ojciec,4204.363083314517,Ojciec,Ojciec,Ojciec,Ojciec,Ojciec,father
σύνδουλος,312,unigram,masculine,nominative,plural,współsłudzy,1.0960670999999007,,,,,współsłudzy,"fellow-servant, colleague"
σύνδουλος,111,unigram,masculine,nominative,singular,Kolega,1.0960670999999007,,Kolega,,,,"fellow-servant, colleague"
ἀγρός,325,unigram,masculine,accusative,plural,wsi,1.3837199593829899,wsi,zagrodach,,posiadłości,wsi,field
ἀγρός,39,unigram,masculine,accusative,singular,pole,11.562084295417405,,pole,pole,pole,pole,field
δάκτυλος,229,unigram,masculine,accusative,plural,palce,1.2013845589884997,palce,palce,,,,finger
δάκτυλος,174,unigram,masculine,accusative,singular,bok,5.70608935064295,bok,bok,boku,,bok,finger
ἰχθύς,151,unigram,masculine,accusative,plural,ryby,1.7631794539605483,ryby,chlebów,ryby,chlebów,ryby,fish
ἰχθύς,186,unigram,masculine,accusative,singular,rybę,4.737193833236344,rybę,rybę,rybę,,rybę,fish
δίκτυον,105,unigram,neuter,accusative,plural,sieci,297.86744016430305,sieci,sieci,sieci,sieci,sieci,fishing net
δίκτυον,196,unigram,neuter,accusative,singular,sieć,4.410652871010978,sieć,sieć,,sieci,sieć,fishing net
δίκτυον,169,unigram,neuter,nominative,plural,rwała,1.0960965115985384,rwała,,,,,fishing net
τροφή,240,unigram,feminine,accusative,plural,nakupić,1.2729094412984348,nakupili,zakupy,nakupić,kupić,nakupić,food
τροφή,320,unigram,feminine,accusative,singular,,,słuszny,,właściwym,,,food
πούς,231,unigram,masculine,accusative,plural,nogi,7.689903594560368,nogi,nogi,nogi,nogi,nogi,foot
πούς,109,unigram,masculine,accusative,singular,,,,,,skaleczył,nogi,foot
καρπός,180,unigram,masculine,accusative,plural,owoce,2.3645355868838314,pożytki,owoce,plony,,owoce,"fruit, crop, harvest"
καρπός,227,unigram,masculine,accusative,singular,,,owocu,owoc,owoc,drzewo,owocu,"fruit, crop, harvest"
πλήρωμα,263,unigram,neuter,accusative,plural,,,pełnych,,,koszy,,fullness
πλήρωμα,319,unigram,neuter,accusative,singular,łaty,1.1062648286089038,,łaty,,,,fullness
γενεά,264,unigram,feminine,accusative,plural,,,,,bojących,pokoleniu,,generation
γενεά,228,unigram,feminine,accusative,singular,pokolenie,3.1817075078737473,naród,pokolenie,,,pokolenie,generation
γενεά,146,unigram,feminine,nominative,singular,pokolenie,9.635899281271032,znamienia,pokolenie,pokolenie,pokolenie,pokolenie,generation
δῶρον,300,unigram,neuter,accusative,plural,dary,3.0772752789193842,dary,,dary,,,gift
δῶρον,159,unigram,neuter,accusative,singular,dar,18.869420599726492,dar,dar,dar,dar,dar,gift
ἡγεμών,167,unigram,masculine,accusative,plural,,,,przed,królów,naśladujecie,namiestników,"governor, ruler"
ἡγεμών,12,unigram,masculine,accusative,singular,namiestnik,1.2729857256897277,starosta,,namiestnik,wielkiemu,namiestnik,"governor, ruler"
ἀσπασμός,311,unigram,masculine,accusative,plural,rynkach,1.4136790672880999,rynkach,rynkach,pozdrowienia,wyrazów,,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,przewodnicy,1.096057314542422,,,,,przewodnicy,guide
ὁδηγός,4,unigram,masculine,nominative,singular,przewodnicy,7.999387834228444,ślepi,przewodnicy,przywódcy,przewodnicy,przewodnicy,guide
θρίξ,90,unigram,feminine,nominative,plural,włosów,1.1456464460086295,,,,włosów,,hair
χείρ,303,unigram,feminine,accusative,plural,ręce,8051.803740960051,ręce,ręce,ręce,ręce,ręce,hand
χείρ,216,unigram,feminine,accusative,singular,rękę,202.11920283129416,rękę,rękę,rękę,rękę,rękę,hand
κεφαλή,202,unigram,feminine,accusative,singular,głowę,204.36671464947514,głowę,głowę,głowę,głowę,głowę,head
στάχυς,203,unigram,masculine,accusative,plural,kłosy,1.5998830109326734,,,kłosy,zrywać,kłosy,head of grain
καρδία,33,unigram,feminine,accusative,plural,serca,5.287886065729311,serca,serca,serca,,serca,heart
καρδία,278,unigram,feminine,accusative,singular,serce,29.381332789378835,serce,,serce,serca,serce,heart
καρδία,188,unigram,feminine,nominative,singular,serce,28.773321504004027,serce,,serce,wasze,serce,heart
οὐρανός,259,unigram,masculine,accusative,singular,niebo,8.77652742607113,niebo,niebo,niebios,niebo,niebo,"heaven, sky"
οὐρανός,194,unigram,masculine,nominative,singular,ziemia,1.5878358737494365,niebo,ziemia,ziemia,Niebo,,"heaven, sky"
ὥρα,285,unigram,feminine,nominative,plural,potknie,1.096405380211236,,,,potknie,,hour
ὥρα,25,unigram,feminine,nominative,singular,godzina,130.79528206455132,godzina,godzina,godzina,czas,godzina,hour
οἰκία,153,unigram,feminine,accusative,plural,domy,3.420347246196449,domy,,domy,,domy,house
οἰκία,316,unigram,feminine,accusative,singular,domu,19.508005424418453,dom,domu,domu,domu,domu,house
οἶκος,273,unigram,masculine,accusative,plural,,,przyjmą,,zostanę,pomogli,,"house, home"
οἶκος,21,unigram,masculine,accusative,singular,domu,284.66504393629384,domu,domu,domu,domu,domu,"house, home"
κριτής,299,unigram,masculine,nominative,plural,sędziami,1.0595416318177244,,,sędziami,,,judge
κριτής,161,unigram,masculine,nominative,singular,sędzia,29.216617865862542,sędzia,sędzia,sędzia,sędzia,sędzia,judge
βασιλεύς,103,unigram,masculine,accusative,plural,,,króle,przed,królów,naśladujecie,,king
βασιλεύς,59,unigram,masculine,accusative,singular,króla,5.286955497983856,króla,króla,króla,Żydów,króla,king
βασιλεία,77,unigram,feminine,accusative,plural,królestwa,2.0521106619553646,królestwa,królestwa,królestwa,królestwa,królestwa,kingdom
βασιλεία,157,unigram,feminine,accusative,singular,królestwa,4.048180238632588,królestwa,Królestwa,Królestwa,królestwa,królestwa,kingdom
κόπος,197,unigram,masculine,accusative,plural,,,przykrzycie,,uczynek,,,"labour, work, trouble, difficulty"
λύχνος,225,unigram,masculine,nominative,singular,jasne,1.7750275539543283,jasne,jasne,całe,lampa,światła,lamp
κλῆρος,1,unigram,masculine,accusative,singular,losy,3.7465253057925536,los,losy,los,losy,losy,"lots (casting of lots), inheritance"
ἄνθρωπος,288,unigram,masculine,accusative,plural,ludzi,50.96974337636585,ludzi,ludzi,ludzi,,ludzi,man
ἄνθρωπος,249,unigram,masculine,accusative,singular,człowieka,1349.278183902193,człowieka,człowieka,człowieka,człowieka,człowieka,man
ἄνθρωπος,115,unigram,masculine,nominative,plural,ludzie,589.8487628261164,ludzie,ludzie,ludzie,ludzie,ludzie,man
ἄνθρωπος,173,unigram,masculine,nominative,singular,człowiek,15845.803744605797,człowiek,człowiek,człowiek,człowiek,człowiek,man
ἀνήρ,241,unigram,masculine,accusative,plural,mężów,7.999378912245769,mężów,,mężów,,mężów,"man, husband"
ἀνήρ,245,unigram,masculine,accusative,singular,męża,273.55529997383684,męża,męża,męża,męża,męża,"man, husband"
ἀνήρ,144,unigram,masculine,nominative,plural,,,,mężczyzn,mężowie,samych,,"man, husband"
ἀνήρ,232,unigram,masculine,nominative,singular,,,mąż,człowiek,mąż,Jezusem,człowiek,"man, husband"
μνᾶ,291,unigram,feminine,accusative,plural,grzywien,2.1512782717692502,grzywien,część,min,dziesięć,grzywien,mina (about 100 days' wages)
μνᾶ,13,unigram,feminine,accusative,singular,dziesięć,1.0441088591276242,,dziesięć,,,,mina (about 100 days' wages)
πρωτοκαθεδρία,101,unigram,feminine,accusative,plural,,,wieczerzach,ucztach,,przyjęciach,,"most important seat, seat of honour"
πρωτοκαθεδρία,35,unigram,feminine,accusative,singular,,,pozdrawiania,,faryzeuszom,zaszczytnych,kochacie,"most important seat, seat of honour"
μήτηρ,270,unigram,feminine,accusative,singular,matkę,12.536909056091199,matkę,matkę,matkę,matkę,matkę,mother
ὄρος,212,unigram,neuter,accusative,plural,,,góry,,uciekają,uciekają,góry,mountain
