lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_483_translation,version_484_translation,english_translation
ἁμαρτία,187,unigram,feminine,accusative,plural,huchakunata,2.755119334498286,huchakunata,huchakunata,sin
ἁμαρτία,193,unigram,feminine,nominative,plural,pampachayki,3.583623929149511,pampachayki,pampachayki,sin
ἀδελφή,13,unigram,feminine,nominative,plural,kashanku,1.4155171530679858,kashanku,,sister
ῥάπισμα,100,unigram,neuter,accusative,plural,—¡Kawsachun,1.096057314542422,,—¡Kawsachun,"slap, strike, hit"
υἱός,34,unigram,masculine,accusative,plural,Zebedeoq,2.4690746474881218,Zebedeoq,Zebedeoq,son
υἱός,85,unigram,masculine,accusative,singular,,,Runaq,Kachamusqan,son
υἱός,87,unigram,masculine,nominative,plural,wawankuna,1.2918433764738384,wawankuna,,son
υἱός,141,unigram,masculine,nominative,singular,,,Runaq,Kachamusqan,son
ψυχή,190,unigram,feminine,accusative,singular,,,waqaychakuyta,wañuqmi,"soul, life"
λίθος,27,unigram,masculine,accusative,singular,rumi,2.470361082943941,rumi,rumi,stone
λίθος,93,unigram,masculine,nominative,plural,rumikunata,3.8324085051567662,rumikunata,rumikunata,stone
λίθος,30,unigram,masculine,nominative,singular,rumi,1.396941973602034,rumi,rumi,stone
συναγωγή,162,unigram,feminine,accusative,plural,,,kamachikuqkunaq,Diosmanta,synagogue
συναγωγή,221,unigram,feminine,accusative,singular,,,sinagogaman,yachachina,synagogue
τάλαντον,52,unigram,neuter,accusative,plural,bolsa,1.5814216299609598,bolsa,bolsa,talent (weight and monetary unit: around 20 years' wages)
τάλαντον,151,unigram,neuter,accusative,singular,bolsa,4.788339932498056,bolsa,bolsa,talent (weight and monetary unit: around 20 years' wages)
φόρος,194,unigram,masculine,accusative,singular,¿Allinchu,1.2013309189107515,¿Allinchu,¿Allinchu,tax
τελώνης,125,unigram,masculine,nominative,plural,contribución,2.562742437719364,contribución,contribución,tax collector
τελώνης,53,unigram,masculine,nominative,singular,,,cobraq,contribución,tax collector
γραμματεύς,225,unigram,masculine,nominative,plural,simita,1.545233234734623,simita,simita,"teacher, expert in the law, scholar, scribe"
γραμματεύς,142,unigram,masculine,nominative,singular,kamachikuy,1.0206509472340777,,kamachikuy,"teacher, expert in the law, scholar, scribe"
κλέπτης,150,unigram,masculine,nominative,singular,suwa,1.0742040117901006,,suwa,thief
διαλογισμός,198,unigram,masculine,accusative,plural,,,yuyaykusqankuta,yuyaykuyninkuta,"thought, argument"
θρόνος,158,unigram,masculine,accusative,singular,kamachikunanpi,1.0960768946513286,kamachikunanpi,,throne
χρόνος,154,unigram,masculine,accusative,singular,unayña,1.1635364323217792,unayña,unayña,time
καιρός,95,unigram,masculine,nominative,singular,,,tiempopas,tiempoyqa,"time, right time"
τάφος,115,unigram,masculine,accusative,singular,aya,1.4393820733718325,aya,aya,"tomb, grave"
μνημεῖον,8,unigram,neuter,accusative,plural,yuyarina,1.670371797872211,yuyarina,yuyarina,"tomb, grave"
μνημεῖον,11,unigram,neuter,accusative,singular,aya,2.215972627904551,aya,aya,"tomb, grave"
μνημεῖον,174,unigram,neuter,nominative,singular,t'oqo,1.122827396677449,t'oqo,t'oqo,"tomb, grave"
θησαυρός,145,unigram,masculine,accusative,singular,qhapaq,1.0425506367367587,qhapaq,,treasure
κώμη,179,unigram,feminine,accusative,plural,huch'uy,1.5782762197269093,huch'uy,huch'uy,village
κώμη,41,unigram,feminine,accusative,singular,llaqtachaman,1.7179488463352541,llaqtachaman,llaqtachaman,village
