lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2073_translation,version_2074_translation,version_2075_translation,english_translation
μαθητής,205,unigram,masculine,accusative,plural,,,ọmọ-ẹhin,ọmọ-ẹ̀yìn,ọmọ-ẹ̀yìn,disciple
μαθητής,388,unigram,masculine,accusative,singular,,,ọmọ-ẹhin,fẹ́ràn,ọmọ-ẹ̀yìn,disciple
μαθητής,319,unigram,masculine,nominative,plural,,,ọmọ-ẹhin,ọmọ-ẹ̀yìn,ọmọ-ẹ̀yìn,disciple
μαθητής,386,unigram,masculine,nominative,singular,,,ọmọ-ẹhin,ọmọ-ẹ̀yìn,ọmọ-ẹ̀yìn,disciple
νόσος,3,unigram,feminine,accusative,plural,,,àrun,ààrùn,àìsàn,disease
νόσος,86,unigram,feminine,accusative,singular,,,,àìsàn,àrùn,disease
περιστερά,117,unigram,feminine,accusative,plural,,,ntà,ta,ẹyẹlé,dove
περιστερά,63,unigram,feminine,accusative,singular,àdàbà,2.3219008917151154,àdaba,àdàbà,àdàbà,dove
οὖς,174,unigram,neuter,accusative,plural,etí,5.207022962367742,etí,etí,gbọ́ràn,ear
οὖς,326,unigram,neuter,accusative,singular,etí,1.5678848120208506,etí,etí,òrùlé,ear
σεισμός,232,unigram,masculine,nominative,plural,,,ìyan,Ìyàn,mì,"earthquakes, storm"
σεισμός,73,unigram,masculine,nominative,singular,,,Si,lórí,sùnlọ,"earthquakes, storm"
τέλος,39,unigram,neuter,accusative,plural,,,owodè,san.,án.,end
τέλος,316,unigram,neuter,accusative,singular,òpin,3.240043395581635,opin,òpin,òpin,end
αἰών,277,unigram,masculine,accusative,plural,,,ipẹkun,ìpẹ̀kun,lópin,eternity
αἰών,350,unigram,masculine,accusative,singular,,,lailai,láéláé,laelae,eternity
ὀφθαλμός,27,unigram,masculine,accusative,plural,ojú,7.284927504442074,oju,ojú,ojú,eye
ὀφθαλμός,13,unigram,masculine,accusative,singular,,,,Ojú,gbẹ̀san,eye
ὀφθαλμός,74,unigram,masculine,nominative,plural,,,oju,ojú,là,eye
ὀφθαλμός,347,unigram,masculine,nominative,singular,ojú,1.9075546737302893,oju,ojú,ojú,eye
πρόσωπον,143,unigram,neuter,accusative,plural,,,nfajuro,dojúbolẹ̀,fajúro,face
πρόσωπον,220,unigram,neuter,accusative,singular,,,,ojú,dojúbolẹ̀,face
λιμός,8,unigram,feminine,nominative,plural,,,ìyan,Ìyàn,mì,famine
λιμός,108,unigram,feminine,nominative,singular,ìyàn,1.623329812134844,ìyan,ìyàn,ìyàn,famine
λιμός,158,unigram,masculine,nominative,singular,ìyàn,1.4580868685674877,ìyan,ìyàn,ìyàn,famine
γεωργός,291,unigram,masculine,nominative,plural,,,arole,alágbàtọ́jú,alágbàro,"farmer, tenant"
γεωργός,58,unigram,masculine,nominative,singular,,,EMI,tòótọ́,àgbẹ̀,"farmer, tenant"
πατήρ,226,unigram,masculine,accusative,plural,,,,baba,ìlérí,father
πατήρ,353,unigram,masculine,accusative,singular,Baba,2.3700731374380988,Baba,Baba,Baba,father
πατήρ,362,unigram,masculine,nominative,plural,baba,17.591676197895676,baba,baba,baba,father
πατήρ,214,unigram,masculine,nominative,singular,Baba,135.93689115400858,Baba,Baba,Baba,father
σύνδουλος,167,unigram,masculine,accusative,plural,,,,ẹlẹgbẹ́,ọ̀mùtí,"fellow-servant, colleague"
σύνδουλος,102,unigram,masculine,accusative,singular,,,isi,ẹ̀tọ́,ha,"fellow-servant, colleague"
σύνδουλος,366,unigram,masculine,nominative,plural,,,ẹgbẹ,ẹlẹgbẹ́,ro,"fellow-servant, colleague"
σύνδουλος,133,unigram,masculine,nominative,singular,,,Mu,ẹlẹgbẹ́,,"fellow-servant, colleague"
