lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_934_translation,version_935_translation,version_936_translation,version_937_translation,english_translation
καρδία,171,unigram,feminine,nominative,singular,imitima,17.14558829532481,imitima,imitima,imitima,imitima,heart
οὐρανός,236,unigram,masculine,accusative,singular,ijuru,119.92069878885616,ijuru,ijuru,ijuru,ijuru,"heaven, sky"
οὐρανός,175,unigram,masculine,nominative,singular,n'isi,2.3701392681990834,n'isi,n'isi,n'isi,,"heaven, sky"
ὥρα,259,unigram,feminine,nominative,plural,ntatsitara,1.0963247953316897,,,,ntatsitara,hour
ὥρα,23,unigram,feminine,nominative,singular,,,kirageze,kirageze,igihe,igihe,hour
οἰκία,139,unigram,feminine,accusative,plural,ingo,2.0685143960525054,ingo,ingo,,,house
οἰκία,289,unigram,feminine,accusative,singular,,,inzu,inzu,nzu,nzu,house
οἶκος,19,unigram,masculine,accusative,singular,imuhira,1.0449329379573278,imuhira,imuhira,nzu,iwe,"house, home"
κριτής,148,unigram,masculine,nominative,singular,umucamanza,6.739530922650648,umucamanza,umucamanza,umucamanza,umucamanza,judge
βασιλεύς,93,unigram,masculine,accusative,plural,abami,1.6061557922448515,,,,abami,king
βασιλεύς,52,unigram,masculine,accusative,singular,umwami,12.183215829118323,umwami,umwami,umwami,umwami,king
βασιλεία,70,unigram,feminine,accusative,plural,amwereka,1.8088619323725172,,,,amwereka,kingdom
βασιλεία,143,unigram,feminine,accusative,singular,bw'Imana,2.1503610142864447,bw'Imana,bw'Imana,bw'Imana,Ingoma,kingdom
κόπος,178,unigram,masculine,accusative,plural,ankoreye,1.8691941491406747,ankoreye,ankoreye,agahinda,kungirira,"labour, work, trouble, difficulty"
λύχνος,207,unigram,masculine,nominative,singular,umurikiwe,2.0177963703453425,umurikiwe,umurikiwe,umucyo,itara,lamp
κλῆρος,1,unigram,masculine,accusative,singular,imyambaro,1.335633628758192,imyambaro,imyambaro,imyenda,ubufindo,"lots (casting of lots), inheritance"
ἄνθρωπος,262,unigram,masculine,accusative,plural,abantu,6.7474613305668525,abantu,abantu,abantu,abantu,man
ἄνθρωπος,227,unigram,masculine,accusative,singular,umuntu,8.172112878167104,umuntu,umuntu,umuntu,umuntu,man
ἄνθρωπος,104,unigram,masculine,nominative,plural,abantu,2.49601995407978,abantu,abantu,abantu,Kayizareya,man
ἄνθρωπος,158,unigram,masculine,nominative,singular,umuntu,85.25566789239598,umuntu,umuntu,umuntu,umuntu,man
ἀνήρ,223,unigram,masculine,accusative,singular,,,mugabo,mugabo,umugabo,umugabo,"man, husband"
ἀνήρ,131,unigram,masculine,nominative,plural,abagabo,2.908289075957356,,,abagabo,abagabo,"man, husband"
ἀνήρ,213,unigram,masculine,nominative,singular,umuntu,1.0970929522078532,umuntu,umuntu,yikubita,umugabo,"man, husband"
μνᾶ,264,unigram,feminine,accusative,plural,icumi,1.5161452744800998,icumi,icumi,mina,,mina (about 100 days' wages)
μνᾶ,11,unigram,feminine,accusative,singular,gikoroto,1.2013630877021924,gikoroto,gikoroto,,,mina (about 100 days' wages)
πρωτοκαθεδρία,91,unigram,feminine,accusative,plural,,,,,y'abakuru,batumiwe,"most important seat, seat of honour"
πρωτοκαθεδρία,31,unigram,feminine,accusative,singular,mukunda,1.0595384180401852,,,mukunda,,"most important seat, seat of honour"
μήτηρ,246,unigram,feminine,accusative,singular,nyina,49.36356818881323,nyina,nyina,nyina,nyina,mother
ὄρος,194,unigram,neuter,accusative,plural,bazahungire,1.2867523052742178,bazahungire,bazahungire,misozi,bazahungire,mountain
ὄρος,234,unigram,neuter,accusative,singular,,,,,musozi,umusozi,mountain
ὄνομα,30,unigram,neuter,accusative,singular,,,babampōra,babampōra,izina,izina,name
