lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
μαθητής,159,unigram,masculine,accusative,plural,,,opetuslapsensa,,,opetuslasten,opetuslapsilleen,disciple
μαθητής,303,unigram,masculine,accusative,singular,opetuslapsen,2.0841257588643547,opetuslapsen,,opetuslapsen,rakkain,rakasti,disciple
μαθητής,243,unigram,masculine,nominative,plural,,,opetuslapsensa,,opetuslapsensa,opetuslapset,opetuslapset,disciple
μαθητής,301,unigram,masculine,nominative,singular,opetuslapsi,174.76146644339929,opetuslapsi,,opetuslapsi,opetuslapsi,opetuslapsi,disciple
περιστερά,90,unigram,feminine,accusative,plural,,,templissä,,kyyhkysten,,,dove
περιστερά,46,unigram,feminine,accusative,singular,kyyhkysen,1.6201288681978954,kyyhkyisen,,kyyhkysen,kyyhkysen,kyyhkynen,dove
οὖς,135,unigram,neuter,accusative,plural,korvat,1.7417052531482926,korvat,,korvat,korvat,korvat,ear
οὖς,248,unigram,neuter,accusative,singular,katoilta,1.06478056812557,,,katoilta,,,ear
σεισμός,181,unigram,masculine,nominative,plural,,,nälkä,,,maanjäristyksiä,,"earthquakes, storm"
σεισμός,55,unigram,masculine,nominative,singular,,,suuri,,katso,,,"earthquakes, storm"
τέλος,241,unigram,neuter,accusative,singular,loppuun,1.5959185612574112,loppuun,,loppuun,loppuun,loppuun,end
αἰών,271,unigram,masculine,accusative,singular,ikinä,4.175081486510972,ijankaikkisesti,,ikinä,ikuisesti,ikinä,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,silmänsä,3.9907102768650735,silmänsä,,silmänsä,silmät,katseensa,eye
ὀφθαλμός,56,unigram,masculine,nominative,plural,silmänsä,15.145556067140918,silmänsä,,silmänsä,silmänsä,silmänsä,eye
ὀφθαλμός,268,unigram,masculine,nominative,singular,silmäsi,5.3432326649785615,silmäs,,silmäsi,silmäsi,silmäsi,eye
πρόσωπον,171,unigram,neuter,accusative,singular,kasvoilleen,1.736383927348608,kasvoillensa,,kasvoilleen,,kasvoilleen,face
λιμός,5,unigram,feminine,nominative,plural,,,nälkä,,,maanjäristyksiä,,famine
λιμός,84,unigram,feminine,nominative,singular,puutetta,1.096071996175396,,,puutetta,,,famine
γεωργός,225,unigram,masculine,nominative,plural,,,peltomiehet,,viinitarhurit,,viljelijät,"farmer, tenant"
γεωργός,42,unigram,masculine,nominative,singular,viinitarhuri,1.316951402735642,,,viinitarhuri,viinitarhuri,viinitarhuri,"farmer, tenant"
πατήρ,273,unigram,masculine,accusative,singular,Isän,2.9031544854381717,Isän,,Isän,Isän,Isän,father
πατήρ,280,unigram,masculine,nominative,plural,,,,,söivät,isänne,,father
πατήρ,166,unigram,masculine,nominative,singular,Isä,72.61368547299696,Isä,,Isä,Isä,Isä,father
σύνδουλος,284,unigram,masculine,nominative,plural,pahakseen,1.161346151680032,,,,pahakseen,,"fellow-servant, colleague"
σύνδουλος,103,unigram,masculine,nominative,singular,,,kanssapalveliansa,,kanssapalvelijansa,kärsivällinen,Palvelustoveri,"fellow-servant, colleague"
ἀγρός,297,unigram,masculine,accusative,plural,,,majoihin,,maataloihin,,satakertaisesti,field
ἀγρός,33,unigram,masculine,accusative,singular,pellon,6.440415898685839,pellon,,pellon,pellon,pellon,field
